"CompoundID","TopologicalAtomPairsFingerprints"
"Cmpd1","FingerprintsVector;TopologicalAtomPairs:AtomicInvariantsAtomTypes:MinDistance1:MaxDistance10;177;NumericalValues;IDsAndValuesString;C.X1.BO1.H3-D1-C.X3.BO4 C.X1.BO1.H3-D1-N.X3.BO3 C.X1.BO1.H3-D1-O.X2.BO2 C.X2.BO3.H1-D1-C.X2.BO3.H1 C.X2.BO3.H1-D1-C.X3.BO4 C.X2.BO3.H1-D1-N.X2.BO3 C.X2.BO3.H1-D1-N.X3.BO3 C.X3.BO4-D1-C.X3.BO4 C.X3.BO4-D1-C.X4.BO4 C.X3.BO4-D1-N.X2.BO2.H1 C.X3.BO4-D1-N.X2.BO3 C.X3.BO4-D1-N.X3.BO3 C.X3.BO4-D1-O.X2.BO2 C.X4.BO4-D1-F.X1.BO1 N.X2.BO3-D1-N.X3.BO3 C.X1.BO1.H3-D2-C.X2.BO3.H1 C.X1.BO1.H3-D2-C.X3.BO4 C.X1.BO1.H3-D2-N.X2.BO3 C.X2.BO3.H1-D2-C.X2.BO3.H1 C.X2.BO3.H1-D2-C.X3.BO4 C.X2.BO3.H1-D2-C.X4.BO4 C.X2.BO3.H1-D2-N.X2.BO2.H1 C.X2.BO3.H1-D2-N.X2.BO3 C.X2.BO3.H1-D2-N.X3.BO3 C.X2.BO3.H1-D2-O.X2.BO2 C.X3.BO4-D2-C.X3.BO4 C.X3.BO4-D2-F.X1.BO1 C.X3.BO4-D2-N.X2.BO3 C.X3.BO4-D2-N.X3.BO3 C.X3.BO4-D2-O.X2.BO2 F.X1.BO1-D2-F.X1.BO1 N.X2.BO2.H1-D2-N.X2.BO3 N.X2.BO2.H1-D2-N.X3.BO3 N.X2.BO3-D2-N.X2.BO3 N.X2.BO3-D2-N.X3.BO3 C.X1.BO1.H3-D3-C.X2.BO3.H1 C.X1.BO1.H3-D3-C.X3.BO4 C.X1.BO1.H3-D3-N.X2.BO2.H1 C.X1.BO1.H3-D3-N.X2.BO3 C.X1.BO1.H3-D3-N.X3.BO3 C.X2.BO3.H1-D3-C.X2.BO3.H1 C.X2.BO3.H1-D3-C.X3.BO4 C.X2.BO3.H1-D3-F.X1.BO1 C.X2.BO3.H1-D3-N.X2.BO3 C.X2.BO3.H1-D3-N.X3.BO3 C.X2.BO3.H1-D3-O.X2.BO2 C.X3.BO4-D3-C.X3.BO4 C.X3.BO4-D3-C.X4.BO4 C.X3.BO4-D3-N.X2.BO2.H1 C.X3.BO4-D3-N.X2.BO3 C.X3.BO4-D3-N.X3.BO3 C.X3.BO4-D3-O.X2.BO2 N.X2.BO2.H1-D3-N.X2.BO3 N.X3.BO3-D3-O.X2.BO2 C.X1.BO1.H3-D4-C.X2.BO3.H1 C.X1.BO1.H3-D4-C.X3.BO4 C.X1.BO1.H3-D4-N.X3.BO3 C.X2.BO3.H1-D4-C.X2.BO3.H1 C.X2.BO3.H1-D4-C.X3.BO4 C.X2.BO3.H1-D4-C.X4.BO4 C.X2.BO3.H1-D4-N.X2.BO2.H1 C.X2.BO3.H1-D4-N.X2.BO3 C.X2.BO3.H1-D4-N.X3.BO3 C.X2.BO3.H1-D4-O.X2.BO2 C.X3.BO4-D4-C.X3.BO4 C.X3.BO4-D4-F.X1.BO1 C.X3.BO4-D4-N.X2.BO2.H1 C.X3.BO4-D4-N.X2.BO3 C.X3.BO4-D4-N.X3.BO3 C.X3.BO4-D4-O.X2.BO2 C.X4.BO4-D4-N.X2.BO2.H1 C.X4.BO4-D4-O.X2.BO2 N.X2.BO2.H1-D4-O.X2.BO2 C.X1.BO1.H3-D5-C.X2.BO3.H1 C.X1.BO1.H3-D5-C.X3.BO4 C.X1.BO1.H3-D5-C.X4.BO4 C.X1.BO1.H3-D5-N.X2.BO2.H1 C.X2.BO3.H1-D5-C.X3.BO4 C.X2.BO3.H1-D5-F.X1.BO1 C.X2.BO3.H1-D5-N.X2.BO2.H1 C.X2.BO3.H1-D5-N.X2.BO3 C.X2.BO3.H1-D5-N.X3.BO3 C.X3.BO4-D5-C.X3.BO4 C.X3.BO4-D5-C.X4.BO4 C.X3.BO4-D5-N.X2.BO3 C.X3.BO4-D5-N.X3.BO3 C.X3.BO4-D5-O.X2.BO2 F.X1.BO1-D5-N.X2.BO2.H1 F.X1.BO1-D5-O.X2.BO2 N.X2.BO3-D5-O.X2.BO2 C.X1.BO1.H3-D6-C.X2.BO3.H1 C.X1.BO1.H3-D6-C.X3.BO4 C.X1.BO1.H3-D6-F.X1.BO1 C.X1.BO1.H3-D6-N.X2.BO3 C.X1.BO1.H3-D6-O.X2.BO2 C.X2.BO3.H1-D6-C.X3.BO4 C.X2.BO3.H1-D6-N.X2.BO2.H1 C.X2.BO3.H1-D6-N.X2.BO3 C.X2.BO3.H1-D6-N.X3.BO3 C.X3.BO4-D6-C.X3.BO4 C.X3.BO4-D6-F.X1.BO1 C.X3.BO4-D6-N.X2.BO2.H1 C.X3.BO4-D6-N.X2.BO3 C.X3.BO4-D6-N.X3.BO3 C.X3.BO4-D6-O.X2.BO2 C.X4.BO4-D6-N.X2.BO3 C.X4.BO4-D6-N.X3.BO3 N.X2.BO3-D6-N.X3.BO3 N.X2.BO3-D6-O.X2.BO2 N.X3.BO3-D6-O.X2.BO2 C.X1.BO1.H3-D7-C.X1.BO1.H3 C.X1.BO1.H3-D7-C.X2.BO3.H1 C.X1.BO1.H3-D7-C.X3.BO4 C.X1.BO1.H3-D7-C.X4.BO4 C.X1.BO1.H3-D7-N.X2.BO3 C.X1.BO1.H3-D7-N.X3.BO3 C.X1.BO1.H3-D7-O.X2.BO2 C.X2.BO3.H1-D7-C.X2.BO3.H1 C.X2.BO3.H1-D7-C.X3.BO4 C.X2.BO3.H1-D7-N.X2.BO3 C.X3.BO4-D7-C.X3.BO4 C.X3.BO4-D7-C.X4.BO4 C.X3.BO4-D7-N.X2.BO2.H1 C.X3.BO4-D7-N.X2.BO3 C.X3.BO4-D7-N.X3.BO3 C.X3.BO4-D7-O.X2.BO2 C.X4.BO4-D7-N.X2.BO3 F.X1.BO1-D7-N.X2.BO3 F.X1.BO1-D7-N.X3.BO3 N.X2.BO2.H1-D7-O.X2.BO2 N.X2.BO3-D7-O.X2.BO2 N.X3.BO3-D7-N.X3.BO3 C.X1.BO1.H3-D8-C.X1.BO1.H3 C.X1.BO1.H3-D8-C.X3.BO4 C.X1.BO1.H3-D8-F.X1.BO1 C.X1.BO1.H3-D8-N.X2.BO2.H1 C.X1.BO1.H3-D8-N.X2.BO3 C.X1.BO1.H3-D8-N.X3.BO3 C.X2.BO3.H1-D8-C.X2.BO3.H1 C.X2.BO3.H1-D8-C.X3.BO4 C.X2.BO3.H1-D8-N.X3.BO3 C.X3.BO4-D8-C.X3.BO4 C.X3.BO4-D8-C.X4.BO4 C.X3.BO4-D8-F.X1.BO1 C.X3.BO4-D8-N.X2.BO3 C.X3.BO4-D8-O.X2.BO2 F.X1.BO1-D8-N.X2.BO3 N.X2.BO2.H1-D8-N.X3.BO3 N.X2.BO3-D8-N.X2.BO3 C.X1.BO1.H3-D9-C.X2.BO3.H1 C.X1.BO1.H3-D9-C.X3.BO4 C.X1.BO1.H3-D9-N.X2.BO3 C.X2.BO3.H1-D9-C.X2.BO3.H1 C.X2.BO3.H1-D9-C.X3.BO4 C.X2.BO3.H1-D9-C.X4.BO4 C.X2.BO3.H1-D9-N.X2.BO2.H1 C.X2.BO3.H1-D9-O.X2.BO2 C.X3.BO4-D9-C.X3.BO4 C.X3.BO4-D9-F.X1.BO1 C.X3.BO4-D9-N.X2.BO3 C.X3.BO4-D9-N.X3.BO3 N.X2.BO3-D9-N.X3.BO3 C.X1.BO1.H3-D10-C.X2.BO3.H1 C.X1.BO1.H3-D10-C.X3.BO4 C.X1.BO1.H3-D10-N.X2.BO3 C.X1.BO1.H3-D10-N.X3.BO3 C.X2.BO3.H1-D10-C.X2.BO3.H1 C.X2.BO3.H1-D10-C.X3.BO4 C.X2.BO3.H1-D10-C.X4.BO4 C.X2.BO3.H1-D10-F.X1.BO1 C.X2.BO3.H1-D10-N.X3.BO3 C.X2.BO3.H1-D10-O.X2.BO2 C.X3.BO4-D10-C.X3.BO4 C.X3.BO4-D10-C.X4.BO4 C.X3.BO4-D10-N.X2.BO2.H1 C.X3.BO4-D10-O.X2.BO2 N.X2.BO2.H1-D10-N.X2.BO3;1 1 2 1 11 1 2 2 1 2 4 2 2 3 1 1 3 2 5 9 2 2 1 1 3 6 3 3 3 1 3 1 1 1 2 4 2 1 1 1 3 9 6 4 2 1 4 2 3 2 2 3 1 1 1 6 1 4 3 1 1 5 4 4 5 6 1 4 1 1 1 1 1 9 2 1 1 8 3 2 4 1 2 1 4 4 2 3 3 3 3 5 3 3 1 6 1 1 1 4 3 1 3 1 1 1 1 2 1 2 1 1 3 1 1 2 2 4 2 5 4 1 1 1 1 1 1 3 3 1 1 1 2 2 3 1 1 1 2 9 2 1 1 3 2 2 3 1 2 2 2 2 2 4 2 2 4 3 3 1 2 1 4 2 1 1 1 3 1 6 2 1 2 1 1 3 1"
"Cmpd2","FingerprintsVector;TopologicalAtomPairs:AtomicInvariantsAtomTypes:MinDistance1:MaxDistance10;169;NumericalValues;IDsAndValuesString;C.X1.BO1.H3-D1-N.X2.BO2.H1 C.X1.BO1.H3-D1-O.X2.BO2 C.X2.BO2.H2-D1-C.X2.BO3.H1 C.X2.BO2.H2-D1-N.X2.BO3 C.X2.BO3.H1-D1-C.X2.BO3.H1 C.X2.BO3.H1-D1-C.X3.BO4 C.X2.BO3.H1-D1-N.X2.BO3 C.X2.BO3.H1-D1-N.X3.BO3 C.X3.BO4-D1-C.X3.BO4 C.X3.BO4-D1-Cl.X1.BO1 C.X3.BO4-D1-N.X2.BO2.H1 C.X3.BO4-D1-N.X2.BO3 C.X3.BO4-D1-N.X3.BO3 C.X3.BO4-D1-O.X2.BO2 C.X1.BO1.H3-D2-C.X3.BO4 C.X2.BO2.H2-D2-C.X2.BO3.H1 C.X2.BO2.H2-D2-C.X3.BO4 C.X2.BO3.H1-D2-C.X2.BO3.H1 C.X2.BO3.H1-D2-C.X3.BO4 C.X2.BO3.H1-D2-Cl.X1.BO1 C.X2.BO3.H1-D2-N.X2.BO2.H1 C.X2.BO3.H1-D2-N.X2.BO3 C.X2.BO3.H1-D2-N.X3.BO3 C.X2.BO3.H1-D2-O.X2.BO2 C.X3.BO4-D2-C.X3.BO4 C.X3.BO4-D2-N.X2.BO2.H1 C.X3.BO4-D2-N.X2.BO3 C.X3.BO4-D2-N.X3.BO3 C.X3.BO4-D2-O.X2.BO2 Cl.X1.BO1-D2-N.X2.BO3 N.X2.BO2.H1-D2-N.X2.BO3 N.X2.BO3-D2-N.X2.BO3 N.X2.BO3-D2-N.X3.BO3 C.X1.BO1.H3-D3-C.X2.BO3.H1 C.X1.BO1.H3-D3-C.X3.BO4 C.X1.BO1.H3-D3-N.X2.BO3 C.X2.BO2.H2-D3-C.X3.BO4 C.X2.BO3.H1-D3-C.X2.BO3.H1 C.X2.BO3.H1-D3-C.X3.BO4 C.X2.BO3.H1-D3-Cl.X1.BO1 C.X2.BO3.H1-D3-N.X2.BO2.H1 C.X2.BO3.H1-D3-N.X2.BO3 C.X2.BO3.H1-D3-N.X3.BO3 C.X2.BO3.H1-D3-O.X2.BO2 C.X3.BO4-D3-C.X3.BO4 C.X3.BO4-D3-N.X2.BO2.H1 C.X3.BO4-D3-N.X2.BO3 C.X3.BO4-D3-O.X2.BO2 Cl.X1.BO1-D3-N.X3.BO3 N.X2.BO3-D3-N.X2.BO3 N.X3.BO3-D3-O.X2.BO2 C.X1.BO1.H3-D4-C.X2.BO3.H1 C.X1.BO1.H3-D4-C.X3.BO4 C.X1.BO1.H3-D4-N.X3.BO3 C.X2.BO2.H2-D4-C.X2.BO3.H1 C.X2.BO2.H2-D4-C.X3.BO4 C.X2.BO2.H2-D4-N.X2.BO3 C.X2.BO3.H1-D4-C.X2.BO3.H1 C.X2.BO3.H1-D4-C.X3.BO4 C.X2.BO3.H1-D4-N.X2.BO2.H1 C.X2.BO3.H1-D4-N.X2.BO3 C.X2.BO3.H1-D4-O.X2.BO2 C.X3.BO4-D4-C.X3.BO4 C.X3.BO4-D4-Cl.X1.BO1 C.X3.BO4-D4-N.X2.BO2.H1 C.X3.BO4-D4-N.X2.BO3 C.X3.BO4-D4-N.X3.BO3 N.X2.BO2.H1-D4-N.X2.BO2.H1 N.X2.BO2.H1-D4-N.X2.BO3 N.X2.BO2.H1-D4-O.X2.BO2 C.X1.BO1.H3-D5-C.X2.BO3.H1 C.X1.BO1.H3-D5-C.X3.BO4 C.X1.BO1.H3-D5-N.X2.BO2.H1 C.X1.BO1.H3-D5-N.X2.BO3 C.X2.BO2.H2-D5-C.X2.BO3.H1 C.X2.BO2.H2-D5-C.X3.BO4 C.X2.BO2.H2-D5-N.X2.BO2.H1 C.X2.BO2.H2-D5-N.X2.BO3 C.X2.BO3.H1-D5-C.X2.BO3.H1 C.X2.BO3.H1-D5-C.X3.BO4 C.X2.BO3.H1-D5-Cl.X1.BO1 C.X2.BO3.H1-D5-N.X2.BO2.H1 C.X2.BO3.H1-D5-N.X2.BO3 C.X3.BO4-D5-C.X3.BO4 C.X3.BO4-D5-Cl.X1.BO1 C.X3.BO4-D5-N.X2.BO2.H1 C.X3.BO4-D5-N.X2.BO3 C.X3.BO4-D5-O.X2.BO2 N.X2.BO2.H1-D5-N.X2.BO3 N.X2.BO2.H1-D5-N.X3.BO3 N.X2.BO3-D5-N.X2.BO3 N.X2.BO3-D5-O.X2.BO2 C.X1.BO1.H3-D6-C.X2.BO2.H2 C.X1.BO1.H3-D6-C.X3.BO4 C.X1.BO1.H3-D6-N.X2.BO3 C.X2.BO2.H2-D6-C.X2.BO3.H1 C.X2.BO2.H2-D6-N.X2.BO2.H1 C.X2.BO3.H1-D6-C.X2.BO3.H1 C.X2.BO3.H1-D6-C.X3.BO4 C.X2.BO3.H1-D6-Cl.X1.BO1 C.X2.BO3.H1-D6-N.X2.BO2.H1 C.X2.BO3.H1-D6-N.X2.BO3 C.X3.BO4-D6-C.X3.BO4 C.X3.BO4-D6-N.X2.BO3 C.X3.BO4-D6-N.X3.BO3 Cl.X1.BO1-D6-O.X2.BO2 N.X2.BO3-D6-O.X2.BO2 C.X1.BO1.H3-D7-C.X2.BO3.H1 C.X1.BO1.H3-D7-Cl.X1.BO1 C.X1.BO1.H3-D7-N.X2.BO3 C.X2.BO2.H2-D7-C.X3.BO4 C.X2.BO3.H1-D7-C.X2.BO3.H1 C.X2.BO3.H1-D7-C.X3.BO4 C.X2.BO3.H1-D7-N.X2.BO2.H1 C.X2.BO3.H1-D7-N.X2.BO3 C.X3.BO4-D7-C.X3.BO4 C.X3.BO4-D7-Cl.X1.BO1 C.X3.BO4-D7-N.X2.BO2.H1 C.X3.BO4-D7-O.X2.BO2 N.X2.BO2.H1-D7-N.X2.BO3 N.X2.BO3-D7-N.X3.BO3 C.X1.BO1.H3-D8-C.X2.BO3.H1 C.X1.BO1.H3-D8-C.X3.BO4 C.X2.BO2.H2-D8-C.X2.BO3.H1 C.X2.BO3.H1-D8-C.X2.BO3.H1 C.X2.BO3.H1-D8-C.X3.BO4 C.X2.BO3.H1-D8-N.X2.BO2.H1 C.X2.BO3.H1-D8-N.X2.BO3 C.X3.BO4-D8-C.X3.BO4 C.X3.BO4-D8-N.X2.BO2.H1 C.X3.BO4-D8-N.X2.BO3 C.X3.BO4-D8-N.X3.BO3 C.X3.BO4-D8-O.X2.BO2 Cl.X1.BO1-D8-N.X2.BO2.H1 N.X2.BO2.H1-D8-O.X2.BO2 C.X1.BO1.H3-D9-C.X2.BO3.H1 C.X1.BO1.H3-D9-C.X3.BO4 C.X1.BO1.H3-D9-N.X2.BO2.H1 C.X1.BO1.H3-D9-O.X2.BO2 C.X2.BO2.H2-D9-C.X2.BO3.H1 C.X2.BO2.H2-D9-C.X3.BO4 C.X2.BO3.H1-D9-C.X2.BO3.H1 C.X2.BO3.H1-D9-C.X3.BO4 C.X2.BO3.H1-D9-O.X2.BO2 C.X3.BO4-D9-C.X3.BO4 C.X3.BO4-D9-Cl.X1.BO1 C.X3.BO4-D9-N.X2.BO3 C.X3.BO4-D9-N.X3.BO3 C.X3.BO4-D9-O.X2.BO2 N.X2.BO2.H1-D9-N.X3.BO3 N.X2.BO3-D9-N.X2.BO3 N.X2.BO3-D9-O.X2.BO2 C.X1.BO1.H3-D10-C.X1.BO1.H3 C.X1.BO1.H3-D10-C.X2.BO3.H1 C.X1.BO1.H3-D10-C.X3.BO4 C.X1.BO1.H3-D10-N.X2.BO3 C.X1.BO1.H3-D10-N.X3.BO3 C.X2.BO2.H2-D10-C.X3.BO4 C.X2.BO2.H2-D10-O.X2.BO2 C.X2.BO3.H1-D10-C.X2.BO3.H1 C.X2.BO3.H1-D10-C.X3.BO4 C.X2.BO3.H1-D10-N.X2.BO2.H1 C.X2.BO3.H1-D10-N.X3.BO3 C.X2.BO3.H1-D10-O.X2.BO2 C.X3.BO4-D10-C.X3.BO4 C.X3.BO4-D10-N.X2.BO3 C.X3.BO4-D10-N.X3.BO3 Cl.X1.BO1-D10-N.X2.BO3 N.X2.BO3-D10-N.X3.BO3;1 1 1 1 6 8 1 2 5 1 3 6 1 1 2 1 1 6 14 1 2 2 1 1 7 1 5 2 1 1 3 1 1 1 2 1 3 5 14 1 2 5 2 1 6 5 7 1 1 1 1 2 3 1 2 1 1 4 10 1 11 3 6 1 4 4 1 1 1 1 4 1 2 1 2 1 1 1 4 16 1 1 7 3 1 3 3 2 2 1 1 1 1 4 2 1 1 4 12 2 9 3 4 4 1 1 2 4 1 2 1 4 11 5 4 4 1 2 2 1 2 3 3 2 7 4 2 6 4 1 2 2 2 1 1 1 3 1 1 1 1 7 9 1 1 1 3 2 1 1 2 1 1 1 1 1 1 1 1 4 9 2 1 3 2 2 1 2 1"
"Cmpd3","FingerprintsVector;TopologicalAtomPairs:AtomicInvariantsAtomTypes:MinDistance1:MaxDistance10;181;NumericalValues;IDsAndValuesString;C.X1.BO1.H3-D1-C.X3.BO3.H1 C.X1.BO1.H3-D1-C.X3.BO4 C.X1.BO1.H3-D1-O.X2.BO2 C.X2.BO3.H1-D1-C.X2.BO3.H1 C.X2.BO3.H1-D1-C.X3.BO4 C.X2.BO3.H1-D1-N.X2.BO3 C.X2.BO3.H1-D1-N.X3.BO3 C.X2.BO3.H1-D1-S.X2.BO2 C.X3.BO3.H1-D1-C.X3.BO4 C.X3.BO4-D1-C.X3.BO4 C.X3.BO4-D1-F.X1.BO1 C.X3.BO4-D1-N.X2.BO2.H1 C.X3.BO4-D1-N.X2.BO3 C.X3.BO4-D1-N.X3.BO3 C.X3.BO4-D1-O.X2.BO2 C.X3.BO4-D1-S.X2.BO2 C.X1.BO1.H3-D2-C.X1.BO1.H3 C.X1.BO1.H3-D2-C.X2.BO3.H1 C.X1.BO1.H3-D2-C.X3.BO4 C.X1.BO1.H3-D2-N.X2.BO3 C.X2.BO3.H1-D2-C.X2.BO3.H1 C.X2.BO3.H1-D2-C.X3.BO3.H1 C.X2.BO3.H1-D2-C.X3.BO4 C.X2.BO3.H1-D2-F.X1.BO1 C.X2.BO3.H1-D2-N.X2.BO2.H1 C.X2.BO3.H1-D2-N.X2.BO3 C.X2.BO3.H1-D2-N.X3.BO3 C.X2.BO3.H1-D2-O.X2.BO2 C.X3.BO3.H1-D2-C.X3.BO4 C.X3.BO4-D2-C.X3.BO4 C.X3.BO4-D2-F.X1.BO1 C.X3.BO4-D2-N.X2.BO2.H1 C.X3.BO4-D2-N.X2.BO3 C.X3.BO4-D2-N.X3.BO3 C.X3.BO4-D2-O.X2.BO2 C.X3.BO4-D2-S.X2.BO2 N.X2.BO2.H1-D2-N.X2.BO3 N.X2.BO2.H1-D2-S.X2.BO2 N.X2.BO3-D2-N.X3.BO3 N.X2.BO3-D2-S.X2.BO2 C.X1.BO1.H3-D3-C.X2.BO3.H1 C.X1.BO1.H3-D3-C.X3.BO4 C.X1.BO1.H3-D3-N.X2.BO2.H1 C.X1.BO1.H3-D3-N.X3.BO3 C.X2.BO3.H1-D3-C.X2.BO3.H1 C.X2.BO3.H1-D3-C.X3.BO3.H1 C.X2.BO3.H1-D3-C.X3.BO4 C.X2.BO3.H1-D3-F.X1.BO1 C.X2.BO3.H1-D3-N.X2.BO2.H1 C.X2.BO3.H1-D3-N.X2.BO3 C.X2.BO3.H1-D3-N.X3.BO3 C.X2.BO3.H1-D3-O.X2.BO2 C.X3.BO3.H1-D3-C.X3.BO4 C.X3.BO3.H1-D3-O.X2.BO2 C.X3.BO4-D3-C.X3.BO4 C.X3.BO4-D3-F.X1.BO1 C.X3.BO4-D3-N.X2.BO2.H1 C.X3.BO4-D3-N.X2.BO3 C.X3.BO4-D3-O.X2.BO2 C.X3.BO4-D3-S.X2.BO2 F.X1.BO1-D3-N.X3.BO3 C.X1.BO1.H3-D4-C.X2.BO3.H1 C.X1.BO1.H3-D4-C.X3.BO3.H1 C.X1.BO1.H3-D4-C.X3.BO4 C.X1.BO1.H3-D4-O.X2.BO2 C.X2.BO3.H1-D4-C.X2.BO3.H1 C.X2.BO3.H1-D4-C.X3.BO4 C.X2.BO3.H1-D4-F.X1.BO1 C.X2.BO3.H1-D4-N.X2.BO3 C.X2.BO3.H1-D4-S.X2.BO2 C.X3.BO3.H1-D4-C.X3.BO4 C.X3.BO3.H1-D4-N.X2.BO2.H1 C.X3.BO4-D4-C.X3.BO4 C.X3.BO4-D4-F.X1.BO1 C.X3.BO4-D4-N.X2.BO2.H1 C.X3.BO4-D4-N.X2.BO3 C.X3.BO4-D4-N.X3.BO3 C.X3.BO4-D4-O.X2.BO2 C.X3.BO4-D4-S.X2.BO2 C.X1.BO1.H3-D5-C.X1.BO1.H3 C.X1.BO1.H3-D5-C.X2.BO3.H1 C.X1.BO1.H3-D5-C.X3.BO3.H1 C.X1.BO1.H3-D5-C.X3.BO4 C.X1.BO1.H3-D5-N.X2.BO2.H1 C.X1.BO1.H3-D5-N.X2.BO3 C.X1.BO1.H3-D5-S.X2.BO2 C.X2.BO3.H1-D5-C.X2.BO3.H1 C.X2.BO3.H1-D5-C.X3.BO4 C.X2.BO3.H1-D5-F.X1.BO1 C.X2.BO3.H1-D5-N.X2.BO2.H1 C.X2.BO3.H1-D5-N.X2.BO3 C.X2.BO3.H1-D5-S.X2.BO2 C.X3.BO3.H1-D5-C.X3.BO4 C.X3.BO4-D5-C.X3.BO4 C.X3.BO4-D5-F.X1.BO1 C.X3.BO4-D5-N.X2.BO3 C.X3.BO4-D5-N.X3.BO3 C.X3.BO4-D5-S.X2.BO2 F.X1.BO1-D5-N.X2.BO3 N.X2.BO2.H1-D5-O.X2.BO2 C.X1.BO1.H3-D6-C.X1.BO1.H3 C.X1.BO1.H3-D6-C.X2.BO3.H1 C.X1.BO1.H3-D6-C.X3.BO4 C.X1.BO1.H3-D6-F.X1.BO1 C.X1.BO1.H3-D6-N.X2.BO2.H1 C.X2.BO3.H1-D6-C.X2.BO3.H1 C.X2.BO3.H1-D6-C.X3.BO4 C.X2.BO3.H1-D6-N.X2.BO2.H1 C.X2.BO3.H1-D6-N.X3.BO3 C.X3.BO3.H1-D6-N.X2.BO3 C.X3.BO3.H1-D6-S.X2.BO2 C.X3.BO4-D6-C.X3.BO4 C.X3.BO4-D6-F.X1.BO1 C.X3.BO4-D6-N.X2.BO2.H1 C.X3.BO4-D6-N.X2.BO3 C.X3.BO4-D6-O.X2.BO2 C.X3.BO4-D6-S.X2.BO2 F.X1.BO1-D6-S.X2.BO2 N.X2.BO3-D6-N.X3.BO3 C.X1.BO1.H3-D7-C.X3.BO4 C.X1.BO1.H3-D7-N.X2.BO3 C.X1.BO1.H3-D7-S.X2.BO2 C.X2.BO3.H1-D7-C.X2.BO3.H1 C.X2.BO3.H1-D7-C.X3.BO3.H1 C.X2.BO3.H1-D7-C.X3.BO4 C.X2.BO3.H1-D7-N.X2.BO3 C.X3.BO3.H1-D7-C.X3.BO4 C.X3.BO4-D7-C.X3.BO4 C.X3.BO4-D7-N.X2.BO2.H1 C.X3.BO4-D7-N.X2.BO3 C.X3.BO4-D7-N.X3.BO3 F.X1.BO1-D7-N.X2.BO2.H1 N.X2.BO3-D7-O.X2.BO2 N.X3.BO3-D7-S.X2.BO2 O.X2.BO2-D7-S.X2.BO2 C.X1.BO1.H3-D8-C.X2.BO3.H1 C.X1.BO1.H3-D8-C.X3.BO4 C.X1.BO1.H3-D8-N.X2.BO3 C.X1.BO1.H3-D8-S.X2.BO2 C.X2.BO3.H1-D8-C.X2.BO3.H1 C.X2.BO3.H1-D8-C.X3.BO4 C.X2.BO3.H1-D8-N.X2.BO3 C.X2.BO3.H1-D8-O.X2.BO2 C.X2.BO3.H1-D8-S.X2.BO2 C.X3.BO3.H1-D8-C.X3.BO4 C.X3.BO4-D8-C.X3.BO4 C.X3.BO4-D8-F.X1.BO1 C.X3.BO4-D8-N.X2.BO3 C.X3.BO4-D8-O.X2.BO2 N.X2.BO2.H1-D8-N.X3.BO3 N.X2.BO3-D8-N.X2.BO3 C.X1.BO1.H3-D9-C.X2.BO3.H1 C.X1.BO1.H3-D9-C.X3.BO4 C.X1.BO1.H3-D9-N.X2.BO3 C.X2.BO3.H1-D9-C.X2.BO3.H1 C.X2.BO3.H1-D9-C.X3.BO3.H1 C.X2.BO3.H1-D9-C.X3.BO4 C.X2.BO3.H1-D9-F.X1.BO1 C.X2.BO3.H1-D9-N.X2.BO2.H1 C.X3.BO4-D9-C.X3.BO4 C.X3.BO4-D9-F.X1.BO1 C.X3.BO4-D9-N.X2.BO3 C.X3.BO4-D9-N.X3.BO3 C.X3.BO4-D9-O.X2.BO2 C.X3.BO4-D9-S.X2.BO2 N.X2.BO3-D9-S.X2.BO2 C.X1.BO1.H3-D10-C.X2.BO3.H1 C.X1.BO1.H3-D10-C.X3.BO4 C.X1.BO1.H3-D10-F.X1.BO1 C.X1.BO1.H3-D10-S.X2.BO2 C.X2.BO3.H1-D10-C.X3.BO3.H1 C.X2.BO3.H1-D10-C.X3.BO4 C.X2.BO3.H1-D10-F.X1.BO1 C.X2.BO3.H1-D10-N.X3.BO3 C.X2.BO3.H1-D10-O.X2.BO2 C.X3.BO3.H1-D10-C.X3.BO4 C.X3.BO4-D10-C.X3.BO4 C.X3.BO4-D10-F.X1.BO1 C.X3.BO4-D10-N.X2.BO2.H1 C.X3.BO4-D10-N.X3.BO3 N.X2.BO2.H1-D10-N.X2.BO3;2 2 1 1 10 1 2 1 1 4 1 2 3 1 1 1 1 2 4 1 2 1 15 1 1 2 1 1 1 5 1 1 1 2 1 1 1 1 1 1 5 4 1 1 6 1 5 1 2 2 2 1 1 1 7 1 2 2 1 2 1 3 1 6 3 5 6 3 3 3 1 1 4 1 2 3 1 1 1 3 1 1 4 2 1 1 1 8 1 2 3 2 1 4 1 2 1 2 2 1 2 3 3 1 1 1 7 1 1 1 1 4 1 1 2 1 2 1 1 3 2 2 4 1 5 2 1 4 1 1 1 1 1 1 1 4 3 1 1 3 7 1 1 2 1 3 1 1 1 1 1 3 4 1 1 2 5 1 2 3 1 1 1 1 1 1 4 3 1 1 1 4 1 1 2 1 2 1 1 1 1"
